List of PGPA Act Commonwealth entities and companies,,,
Updated as of 2 February 2026,,,
,,,
,No. of Commonwealth Entities & Companies,195 ,
ASC Pty Ltd,Finance,C. Commonwealth Company,Material
Australian Naval Infrastructure Pty Ltd,Finance,C. Commonwealth Company,Material
CEA Technologies Pty Limited,Finance,C. Commonwealth Company,Material
Services Australia,Finance,A. Non-corporate Commonwealth Entity,Material
Australian Naval Nuclear Power Safety Regulator,Defence,A. Non-corporate Commonwealth Entity,Small
Australian Centre for International Agricultural Research,Foreign Affairs and Trade,A. Non-corporate Commonwealth Entity,Small
Australian Secret Intelligence Service,Foreign Affairs and Trade,A. Non-corporate Commonwealth Entity,Small
Australian Trade and Investment Commission (Austrade),Foreign Affairs and Trade,A. Non-corporate Commonwealth Entity,Small
Department of Foreign Affairs and Trade,Foreign Affairs and Trade,A. Non-corporate Commonwealth Entity,Material
Export Finance Australia (EFA),Foreign Affairs and Trade,B. Corporate Commonwealth Entity,Material
Tourism Australia,Foreign Affairs and Trade,B. Corporate Commonwealth Entity,Small
Aged Care Quality and Safety Commission,"Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Small
Australian Centre for Disease Control,"Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Small
Australian Radiation Protection and Nuclear Safety Agency,"Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Small
Cancer Australia,"Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Small
"Department of Health, Disability and Ageing","Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Material
National Blood Authority,"Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Material
National Health and Medical Research Council,"Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Material
National Health Funding Body,"Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Small
NDIS Quality and Safeguards Commission,"Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Small
Office of the Inspector-General of Aged Care,"Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Small
Organ and Tissue Authority,"Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Small
Professional Services Review,"Health, Disability and Ageing",A. Non-corporate Commonwealth Entity,Small
Australian Commission on Safety and Quality in Health Care,"Health, Disability and Ageing",B. Corporate Commonwealth Entity,Small
Australian Digital Health Agency,"Health, Disability and Ageing",B. Corporate Commonwealth Entity,Small
Australian Hearing Services (Hearing Australia),"Health, Disability and Ageing",B. Corporate Commonwealth Entity,Material
Australian Institute of Health and Welfare,"Health, Disability and Ageing",B. Corporate Commonwealth Entity,Small
Food Standards Australia New Zealand,"Health, Disability and Ageing",B. Corporate Commonwealth Entity,Small
Independent Health and Aged Care Pricing Authority,"Health, Disability and Ageing",B. Corporate Commonwealth Entity,Small
National Disability Insurance Agency,"Health, Disability and Ageing",B. Corporate Commonwealth Entity,Material
Australian Criminal Intelligence Commission,Home Affairs,A. Non-corporate Commonwealth Entity,Small
Australian Federal Police,Home Affairs,A. Non-corporate Commonwealth Entity,Material
Australian Institute of Criminology,Home Affairs,A. Non-corporate Commonwealth Entity,Small
Australian Security Intelligence Organisation,Home Affairs,A. Non-corporate Commonwealth Entity,Material
Australian Transaction Reports and Analysis Centre,Home Affairs,A. Non-corporate Commonwealth Entity,Small
Department of Home Affairs,Home Affairs,A. Non-corporate Commonwealth Entity,Material
National Emergency Management Agency,Home Affairs,A. Non-corporate Commonwealth Entity,Small
"Department of Industry, Science and Resources","Industry, Science and Resources",A. Non-corporate Commonwealth Entity,Material
Geoscience Australia,"Industry, Science and Resources",A. Non-corporate Commonwealth Entity,Material
IP Australia,"Industry, Science and Resources",A. Non-corporate Commonwealth Entity,Small
Net Zero Economy Authority,"Industry, Science and Resources",A. Non-corporate Commonwealth Entity,Small
Australian Nuclear Science and Technology Organisation,"Industry, Science and Resources",B. Corporate Commonwealth Entity,Material
Commonwealth Scientific and Industrial Research Organisation,"Industry, Science and Resources",B. Corporate Commonwealth Entity,Material
National Offshore Petroleum Safety and Environmental Management Authority,"Industry, Science and Resources",B. Corporate Commonwealth Entity,Small
National Reconstruction Fund Corporation,"Industry, Science and Resources",B. Corporate Commonwealth Entity,Material
Australian Communications and Media Authority,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",A. Non-corporate Commonwealth Entity,Material
Australian Transport Safety Bureau,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",A. Non-corporate Commonwealth Entity,Small
"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts","Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",A. Non-corporate Commonwealth Entity,Material
National Archives of Australia,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",A. Non-corporate Commonwealth Entity,Material
National Capital Authority,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",A. Non-corporate Commonwealth Entity,Material
Sport Integrity Australia,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",A. Non-corporate Commonwealth Entity,Small
Airservices Australia,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Material
Australian Broadcasting Corporation,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Material
"Australian Film, Television and Radio School","Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
